id,name,status,v_src_m3,v_out_m3,dv_m3,dv_pct,v_naive_stored_units,v_proj_m3,dv_proj_pct,proj_disp_mm,max_vertex_disp_mm,src_tris,out_tris,src_verts,out_verts,src_watertight,src_unpaired_edges,out_watertight,out_unpaired_edges
3UEb2iq7D2tOgbX6Mufs$X,001,ok,66.528,66.528,0.0,0.0,5.429429028981983e-09,66.094075,-0.652244,17.721,0.0,12,12,8,8,True,0,True,0
2xcLNHPon6VO6wB_n0EQLF,002,ok,68.904,68.904,0.0,0.0,5.62325059043009e-09,68.454579,-0.652243,17.833,0.0,12,12,8,8,True,0,True,0
2Hh$tXimL1_Aogi9jn1cZ4,003,ok,68.904,68.904,0.0,0.0,5.6232505902132496e-09,68.45458,-0.652241,17.833,0.0,12,12,8,8,True,0,True,0
2sVpKMTdb3u8IUv50wOLpo,004,ok,68.904,68.904,0.0,0.0,5.623364276834131e-09,68.454581,-0.65224,17.834,0.0,12,12,8,8,True,0,True,0
0V74RtuUH1zQt_CcawQbBc,005,ok,68.904,68.904,-0.0,-0.0,5.62336427661729e-09,68.454581,-0.652239,17.834,0.0,12,12,8,8,True,0,True,0
0dXE$xLxz8MwbtYoTqJPiO,006,ok,357.048,357.048,-0.0,-0.0,2.9138875735044978e-08,354.719174,-0.652245,44.287,0.0,12,12,8,8,True,0,True,0
2G3Zgh3YLFBxViczryC8tv,007,ok,33.264,33.264,-0.0,-0.0,2.714638721928661e-09,33.047034,-0.652254,16.154,0.0,12,12,8,8,True,0,True,0
1pG7ErnqL79fYOSoJhY$mD,008,ok,34.452,34.452,0.0,0.0,2.8116821379833845e-09,34.227285,-0.652255,16.209,0.0,12,12,8,8,True,0,True,0
2NO$Il8fr1n8x3zsU1IoYc,010,ok,33.264,33.264,0.0,0.0,2.714638723880225e-09,33.047033,-0.652258,16.153,0.0,12,12,8,8,True,0,True,0
3vTaz$m4D7Mw20Cj4ZCMEW,011,ok,33.264,33.264,0.0,0.0,2.7146387232297037e-09,33.047033,-0.652259,16.153,0.0,12,12,8,8,True,0,True,0
29dtO28k16G9baf14UO37j,012,ok,33.264,33.264,0.0,0.0,2.7146766189145577e-09,33.047032,-0.652259,16.153,0.0,12,12,8,8,True,0,True,0
3YOWN6kp53UhVDk7gccfjD,013,ok,33.264,33.264,0.0,0.0,2.7147678961607358e-09,33.047032,-0.65226,16.153,0.0,12,12,8,8,True,0,True,0
25NDKbpWH5r94ho13fJMeb,014,ok,30.888,30.888,0.0,0.0,2.52085505703277e-09,30.68653,-0.652261,16.041,0.0,12,12,8,8,True,0,True,0
3cjnMny5DF0g1J6kKZWO4Y,015,ok,95.58,95.58,0.0,0.0,7.800306938126472e-09,94.956579,-0.652251,16.588,0.0,12,12,8,8,True,0,True,0
2Zmi8kumn3P9N9wBPT48lG,017,ok,31.86,31.86,0.0,0.0,2.6000577162750733e-09,31.652194,-0.652247,9.94,0.0,12,12,8,8,True,0,True,0
3Gz7u_d1P7IA35Wmtg48Rc,016,ok,126.846,126.846,-0.0,-0.0,1.0351933608064579e-08,126.01864,-0.652256,37.057,0.0,20,20,12,12,True,0,True,0
1nsRm1QQb1xwWpzzFR7Ax3,009,ok,34.452,34.452,0.0,0.0,2.811682137766544e-09,34.227284,-0.652257,16.209,0.0,12,12,8,8,True,0,True,0
3EN96kdYDB2OOGjNLp8e86,101,ok,30.888,30.888,0.0,0.0,2.520722930382654e-09,30.686535,-0.652245,16.041,0.0,12,12,8,8,True,0,True,0
1_Evy7T$DCiwLgTMLHCRoe,102,ok,68.904,68.904,0.0,0.0,5.623229857882467e-09,68.454578,-0.652244,17.833,0.0,12,12,8,8,True,0,True,0
3eQ_MQ5er5UeRXq4xxAoKl,103,ok,68.904,68.904,0.0,0.0,5.62325059043009e-09,68.454579,-0.652242,17.833,0.0,12,12,8,8,True,0,True,0
3KaloR8018sAKZVwuYVbSu,116,ok,95.58,95.58,0.0,0.0,7.800292429766681e-09,94.956579,-0.652251,16.588,0.0,12,12,8,8,True,0,True,0
03hhkFXKT4RPFNu5rDrZPL,115,ok,66.528,66.528,0.0,0.0,5.429415544488513e-09,66.094064,-0.65226,17.72,0.0,12,12,8,8,True,0,True,0
1oKaKV7Wz8IOJ10cA1PGWP,113,ok,34.452,34.452,0.0,0.0,2.8116821379833845e-09,34.227284,-0.652257,16.209,0.0,12,12,8,8,True,0,True,0
3j5r$vfHT3JfqUfpdRoXnP,112,ok,34.452,34.452,0.0,0.0,2.8116821379833845e-09,34.227285,-0.652255,16.209,0.0,12,12,8,8,True,0,True,0
