id,name,status,v_src_m3,v_out_m3,dv_m3,dv_pct,v_naive_stored_units,v_proj_m3,dv_proj_pct,proj_disp_mm,max_vertex_disp_mm,src_tris,out_tris,src_verts,out_verts,src_watertight,src_unpaired_edges,out_watertight,out_unpaired_edges
347jFE2yX7IhCEIALmupEH,4,ok,55.18125,55.18125,0.0,0.0,4.477019277440014e-09,54.811439,-0.670175,19.413,0.0,12,12,8,8,True,0,True,0
0e_hbkIQ5DMQlIJ$2V3j_m,3,ok,31.25675,31.25675,0.0,0.0,2.5359287651564866e-09,31.047275,-0.670176,13.395,0.0,12,12,8,8,True,0,True,0
2RSCzLOBz4FAK$_wE8VckM,2,ok,32.4625,32.4625,-0.0,-0.0,2.6338699602411475e-09,32.244944,-0.670175,13.434,0.0,12,12,8,8,True,0,True,0
0Lt8gR_E9ESeGH5uY_g9e9,5,ok,64.971375,64.971375,-0.0,-0.0,5.271419436158817e-09,64.535957,-0.670169,16.851,0.0,16,16,10,10,True,0,True,0
3$f2p7VyLB7eox67SA_zKE,1,ok,28.65522,28.65522,0.0,0.0,2.3249275365414424e-09,28.463182,-0.670168,10.351,0.0,36,36,20,20,True,0,True,0
17JZcMFrf5tOftUTidA0d3,6,ok,40.763625,40.763625,0.0,0.0,3.307320789415133e-09,40.490441,-0.670167,16.331,0.0,16,16,10,10,True,0,True,0
2dQFggKBb1fOc1CqZDIDlx,7,ok,217.532465,217.532465,-0.0,-0.0,1.7649251142672203e-08,216.074625,-0.670171,34.78,0.0,16,16,10,10,True,0,True,0
