file,path,size_mb,schema,length_unit,entities,buildings,storeys,spaces,zones,space_boundaries,map_conversion,projected_crs,property_sets,brep,tessellated,extruded,usable,blockers,warnings
LargeBuilding.ifc,3D-Cadastre/IFC/LargeBuilding.ifc,1.23,IFC2X3,metre,20735,1,2,8,0,0,0,0,1410,57,0,137,True,,no IfcMapConversion — manual georeferencing required; no space boundaries — party-wall semantics unavailable
agent_building_only.ifc,3D-Cadastre/IFC/agent_building_only.ifc,0.03,IFC4,metre,500,1,3,9,0,0,1,1,11,0,0,24,True,,no space boundaries — party-wall semantics unavailable
agent_three_storey_building.ifc,3D-Cadastre/IFC/agent_three_storey_building.ifc,0.03,IFC4,metre,526,1,3,9,0,0,1,1,12,0,0,25,True,,no space boundaries — party-wall semantics unavailable
parcel_12505_two_storey_6_units.ifc,3D-Cadastre/IFC/parcel_12505_two_storey_6_units.ifc,0.01,IFC4,metre,136,1,2,6,3,0,0,0,0,0,0,6,True,,no IfcMapConversion — manual georeferencing required; no space boundaries — party-wall semantics unavailable
parcel_demo_three_storey_wgs_local.ifc,3D-Cadastre/IFC/parcel_demo_three_storey_wgs_local.ifc,0.03,IFC4,metre,516,1,3,9,0,0,1,1,12,0,0,25,True,,no space boundaries — party-wall semantics unavailable
simple-model-spaces01.ifc,3D-Cadastre/IFC/simple-model-spaces01.ifc,0.29,IFC4,metre,3677,1,3,7,0,0,0,0,240,0,21,85,True,,no IfcMapConversion — manual georeferencing required; no space boundaries — party-wall semantics unavailable
IFC_01.ifc,3D-Cadastre/IFC/IFC2CityJson/IFC_01.ifc,87.03,IFC4,metre,514610,1,8,129,0,0,0,0,24562,0,6183,1209,True,,no IfcMapConversion — manual georeferencing required; no space boundaries — party-wall semantics unavailable
LargeBuilding.ifc,3D-Cadastre/IFC/IFC2CityJson/LargeBuilding.ifc,1.23,IFC2X3,metre,20735,1,2,8,0,0,0,0,1410,57,0,137,True,,no IfcMapConversion — manual georeferencing required; no space boundaries — party-wall semantics unavailable
simple-model-spaces01.ifc,3D-Cadastre/IFC/IFC2CityJson/simple-model-spaces01.ifc,0.29,IFC4,metre,3677,1,3,7,0,0,0,0,240,0,21,85,True,,no IfcMapConversion — manual georeferencing required; no space boundaries — party-wall semantics unavailable
