id,name,status,v_src_m3,v_out_m3,dv_m3,dv_pct,v_naive_stored_units,v_proj_m3,dv_proj_pct,proj_disp_mm,max_vertex_disp_mm,src_tris,out_tris,src_verts,out_verts,src_watertight,src_unpaired_edges,out_watertight,out_unpaired_edges
26JHatoHX8uPohez7UDUgn,1,ok,372.279581,372.279581,0.0,0.0,3.026097673133049e-08,369.858029,-0.650466,43.755,0.0,12,12,8,8,True,0,True,0
26JHatoHX8uPohez7UDUgo,2,ok,878.085428,878.085428,-0.0,-0.0,7.137580039297206e-08,872.373782,-0.650466,79.788,0.0,24,24,14,14,True,0,True,0
26JHatoHX8uPohez7UDUfF,3,ok,534.512185,534.512185,0.0,0.0,4.34481913568118e-08,531.035487,-0.650443,64.916,0.0,16,16,10,10,True,0,True,0
26JHatoHX8uPohez7UDUf8,4,ok,396.016674,396.016674,-0.0,-0.0,3.219047218800536e-08,393.440805,-0.650445,45.086,0.0,12,12,8,8,True,0,True,0
26JHatoHX8uPohez7UDUf6,5,ok,541.745263,541.745263,-0.0,-0.0,4.403616755383934e-08,538.221403,-0.650464,53.065,0.0,12,12,8,8,True,0,True,0
26JHatoHX8uPohez7UDUf2,6,ok,1395.191128,1395.191128,0.0,0.0,1.1340913047227542e-07,1386.115866,-0.650467,67.659,0.0,28,28,16,16,True,0,True,0
26JHatoHX8uPohez7UDUfV,7,ok,1842.882467,1842.882467,0.0,0.0,1.4980016352318312e-07,1830.895428,-0.650451,71.964,0.0,24,24,14,14,True,0,True,0
