file,n_space,n_space_with_grossvolume,pct,qset_names
AC-20-Smiley-West-10-Bldg.ifc,140,140,100.0,ARCHICAD BIM Base Quantities=140
AC20-FZK-Haus.ifc,7,7,100.0,ARCHICAD BIM Base Quantities=7
AC20-Institute-Var-2.ifc,82,82,100.0,ARCHICAD BIM Base Quantities=82
Duplex_Architecture_IFC2x3.ifc,21,0,0.0,-
SampleHouse_IFC4.ifc,4,4,100.0,=4
Schependomlaan.ifc,100,100,100.0,ArchiCAD BIM Base Quantities=100
